GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics.economicindicators,FinancialMarketsStatisticsEconomicIndicatorsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.productionvalueindex,BusinessActivitiesProductionValueIndexClient,0,25,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.surveys.employment,LivingConditionsSurveysEmploymentClient,0,156,0,0,0,33,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.adoptees,PopulationStatisticsAdopteesClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.partnership,PopulationStatisticsPartnershipClient,0,84,0,0,0,19,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.accomodationstatistics.month,BusinessActivitiesAccomodationStatisticsMonthClient,0,186,0,0,0,41,0,17,0,17
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.foreigntradegoods,GoodsAndServicesForeignTradeGoodsClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics.keyfigures,FinancialMarketsStatisticsKeyFiguresClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.name.registeredpersons,PopulationNameRegisteredPersonsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.shorttermemployment,LabourMarketShortTermEmploymentClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.agriculture,AgricultureClient,0,58,0,0,0,14,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.balancestatistics,BusinessActivitiesBalanceStatisticsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.environment.airpollutants,EnvironmentAirPollutantsClient,0,312,0,0,0,65,0,23,0,23
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.balanceofpayments.economicindicators,FinancialMarketsBalanceOfPaymentsEconomicIndicatorsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.transport.registeredvehicles,TransportRegisteredVehiclesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption,PricesAndConsumptionClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.nonprofitorganizations.satelliteaccounts,BusinessActivitiesNonProfitOrganizationsSatelliteAccountsClient,0,66,0,0,0,16,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi.cpifct,PricesAndConsumptionCPICPIFCTClient,0,48,0,0,0,13,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions.families.adoptions,LivingConditionsFamiliesAdoptionsClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.annualaccounts.statementaccountscounty,PublicFinancesAnnualAccountsStatementAccountsCountyClient,0,114,0,0,0,22,0,16,0,16
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.nonprofitorganizations.primarystatistics,BusinessActivitiesNonProfitOrganizationsPrimaryStatisticsClient,0,108,0,0,0,25,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch.activityaftertraining,EducationAndResearchActivityAfterTrainingClient,0,114,0,0,0,24,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi,PricesAndConsumptionPPIClient,0,80,0,0,0,18,0,9,0,9
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi.hicp,PricesAndConsumptionCPIHICPClient,0,62,0,0,0,16,0,12,0,12
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi.economicindicators,PricesAndConsumptionCPIEconomicIndicatorsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.foreigncitizens,PopulationStatisticsForeignCitizensClient,0,48,0,0,0,12,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.costindex,LabourMarketCostIndexClient,0,75,0,0,0,17,0,12,0,12
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.annualaccounts,PublicFinancesAnnualAccountsClient,0,58,0,0,0,14,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.publicfinances.governmentdebt,PublicFinancesGovernmentDebtClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics.depositandlending,FinancialMarketsStatisticsDepositAndLendingClient,8,208,0,0,1,43,1,12,1,12
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.cpi.pricebasicamount,PricesAndConsumptionCPIPriceBasicAmountClient,0,48,0,0,0,13,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.securities,FinancialMarketsSecuritiesClient,0,84,0,0,0,19,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.educationandresearch.communityinnovationsurvey.activity,EducationAndResearchCommunityInnovationSurveyActivityClient,0,162,0,0,0,34,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.turnoverservicesector,GoodsAndServicesTurnoverServiceSectorClient,0,47,0,0,0,12,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.transport,TransportClient,0,25,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.transport.registeredvehicles.vehicles,TransportRegisteredVehiclesVehiclesClient,0,132,0,0,0,29,0,11,0,11
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.shorttermemployment.sickleave,LabourMarketShortTermEmploymentSickLeaveClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.pricesandconsumption.ppi.spin2007year,PricesAndConsumptionPPISPIN2007YearClient,0,108,0,0,0,23,0,18,0,18
scb-java-client,com.github.dannil.scbjavaclient.client.population.projections.latestprojections,PopulationProjectionsLatestProjectionsClient,0,162,0,0,0,35,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.migration,PopulationStatisticsMigrationClient,0,84,0,0,0,19,0,7,0,7
scb-java-client,com.github.dannil.scbjavaclient.client.livingconditions,LivingConditionsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.communication.http,HttpStatusCode,0,101,0,4,0,13,0,8,0,6
scb-java-client,com.github.dannil.scbjavaclient.communication.http,HttpRequestMethod,0,24,0,0,0,3,0,1,0,1
scb-java-client,com.github.dannil.scbjavaclient.client.population.statistics.averageage,PopulationStatisticsAverageAgeClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.labourmarket.grosspay,LabourMarketGrossPayClient,0,25,0,0,0,8,0,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.investmentsurvey.economicindicators,BusinessActivitiesInvestmentSurveyEconomicIndicatorsClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.agriculture.cerealcrops,AgricultureCerealCropsClient,0,42,0,0,0,11,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.utility,QueryBuilder,0,139,0,22,0,34,0,14,0,3
scb-java-client,com.github.dannil.scbjavaclient.utility,Localization.ResourceBundleEncodingControl,15,60,6,6,5,13,6,4,0,4
scb-java-client,com.github.dannil.scbjavaclient.utility,StreamUtility,6,33,0,0,2,5,0,2,0,2
scb-java-client,com.github.dannil.scbjavaclient.utility,UnicodeBOMInputStream,17,201,13,31,4,44,12,25,1,14
scb-java-client,com.github.dannil.scbjavaclient.utility,UnicodeBOMInputStream.BOM,2,164,4,10,0,19,4,7,0,4
scb-java-client,com.github.dannil.scbjavaclient.utility,Localization,0,73,0,0,0,18,0,6,0,6
scb-java-client,com.github.dannil.scbjavaclient.client.environment.shorelinelanduse.oldtables,EnvironmentShorelineLandUseOldTablesClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.financialmarkets.statistics,FinancialMarketsStatisticsClient,0,69,0,0,0,16,0,8,0,8
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.productionvalueindex.productionvalueindex,BusinessActivitiesProductionValueIndexProductionValueIndexClient,0,36,0,0,0,10,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.transport.registeredvehicles.economicindicators,TransportRegisteredVehiclesEconomicIndicatorsClient,0,30,0,0,0,9,0,5,0,5
scb-java-client,com.github.dannil.scbjavaclient.client.businessactivities.accomodationstatistics.year,BusinessActivitiesAccomodationStatisticsYearClient,0,150,0,0,0,33,0,13,0,13
scb-java-client,com.github.dannil.scbjavaclient.client.goodsandservices.turnoverservicesector.turnover,GoodsAndServicesTurnoverServiceSectorTurnoverClient,0,108,0,0,0,25,0,11,0,11
